Company,Memory_Structure_Categories,Gpu_Type,Gpu_Company,OpSys,Cpu_Company,Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Price_dollars
Asus,Hybrid,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,32,512,4.7,4279
Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,32,512,4.6,3564
Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16,256,4.6,3025
Lenovo,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.7,32,256,4.6,2929
Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16,128,4.6,2519
MSI,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16,128,4.5,2584
Dell,Hybrid,GeForce GTX 1070M,Nvidia,Windows 10,Intel,17.3,2.8,32,1000,4.42,3948
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32,256,4.42,3464
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32,512,4.42,3462
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32,512,4.42,3380
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,128,4.42,3314
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16,256,4.42,3156
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.6,32,256,4.42,3080
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.9,16,256,4.42,3079
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.42,2969
Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.42,2702
Dell,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.7,8,1000,4.42,2251
MSI,Hybrid,GTX 980 SLI,Nvidia,Windows 10,Intel,18.4,2.9,32,512,4.4,3079
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32,1000,4.36,4025
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,512,4.36,3469
Dell,Hybrid,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.7,16,512,4.36,3034
Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,128,4.36,2756
Asus,Hybrid,GeForce GTX 965M,Nvidia,Windows 10,Intel,17.3,2.6,24,256,4.33,1396
Asus,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.6,16,256,4.3,2585
Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16,128,4.3,2529
Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16,512,4.3,2365
Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.3,1979
Acer,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.2,2859
Acer,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,256,4.2,2529
Acer,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.6,16,128,4.2,2129
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.9,16,512,4.14,3002
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,512,4.14,2749
MSI,Hybrid,GeForce GTX 970M,Nvidia,Windows 10,Intel,17.3,2.7,16,128,4.14,2419
Asus,Hybrid,GeForce GTX 970M,Nvidia,Windows 10,Intel,17.3,2.6,16,128,4,2090
Asus,HDD,GeForce GTX 965M,Nvidia,No OS,Intel,17.3,2.6,16,1000,4,1098
Asus,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.7,32,512,3.8,3079
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,3.78,2749
MSI,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16,256,3.78,2639
HP,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,12,1000,3.78,1869
MSI,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16,256,3.78,1700
HP,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,16,256,3.78,1648
HP,HDD,Radeon RX 580,AMD,Windows 10,Intel,17.3,2.8,12,1000,3.74,1924
Asus,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,16,256,3.6,3299
Asus,SSD,GeForce GTX 980 ,Nvidia,Windows 10,Intel,17.3,2.7,64,1000,3.58,4373
Asus,SSD,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,32,256,3.58,1407
Asus,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,17.3,2.6,8,128,3.52,1444
Razer,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,32,1000,3.49,6709
Razer,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,32,512,3.49,6049
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.9,16,256,3.49,3095
Dell,SSD,Quadro M1200,Nvidia,Windows 10,Intel,17.3,2.9,16,256,3.42,3173
Lenovo,SSD,Quadro M620M,Nvidia,Windows 10,Intel,17.3,2.8,8,256,3.4,3299
HP,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,12,256,3.35,2199
HP,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,16,256,3.35,1517
HP,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8,128,3.35,1310
HP,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.3,8,128,3.35,1242
Lenovo,SSD,GeForce GTX 960,Nvidia,Windows 10,Intel,15.6,2.6,16,512,3.31,1436
Lenovo,Hybrid,GeForce GTX 960,Nvidia,Windows 10,Intel,15.6,2.6,8,128,3.31,1316
Acer,HDD,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2,8,1000,3.3,692
Acer,HDD,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2,4,1000,3.3,658
Asus,Hybrid,Radeon RX 580,AMD,Windows 10,AMD,17.3,3,16,256,3.25,2419
Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16,256,3.21,3052
Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.5,16,128,3.21,2256
Dell,Hybrid,GeForce GTX 970M,Nvidia,Windows 10,Intel,15.6,2.6,16,256,3.21,1462
Lenovo,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,16,512,3.2,1924
Asus,Hybrid,Radeon RX 580,AMD,Windows 10,AMD,17.3,3.2,8,256,3.2,1865
Asus,Hybrid,Radeon RX 580,AMD,Windows 10,AMD,17.3,3,16,256,3.2,1704
Lenovo,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,16,256,3.2,1649
Lenovo,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,8,256,3.2,1539
Lenovo,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,8,1000,3.2,1429
Asus,Hybrid,Radeon RX 580,AMD,Windows 10,AMD,17.3,3,8,256,3.2,1429
HP,SSD,Quadro M2200,Nvidia,Windows 10,Intel,15.6,2.8,8,256,3.14,2271
HP,HDD,Quadro M1200,Nvidia,Windows 10,Intel,17.3,2.8,8,500,3.14,2099
HP,HDD,Quadro M1200,Nvidia,Windows 10,Intel,17.3,2.8,8,500,3.14,2047
HP,SSD,Quadro M2000M,Nvidia,Windows 7,Intel,17.3,2.9,16,256,3,4828
HP,SSD,Quadro M3000M,Nvidia,Windows 7,Intel,17.3,2.6,8,256,3,4344
HP,HDD,FirePro W6150M,AMD,Windows 7,Intel,17.3,2.6,8,1000,3,3189
Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16,256,3,1750
Asus,Hybrid,GeForce GTX1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16,256,3,1654
Asus,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8,1000,3,1306
Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8,128,3,1285
Asus,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8,1000,3,1143
Acer,SSD,GeForce MX150,Nvidia,Windows 10,Intel,15.6,1.8,8,256,3,1046
Asus,HDD,GeForce GTX 1050 Ti,Nvidia,Linux,Intel,17.3,2.8,12,1000,3,1044
Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.5,8,128,3,1032
Acer,SSD,GeForce MX150,Nvidia,Windows 10,Intel,17.3,1.6,8,256,3,939
Acer,SSD,GeForce MX150,Nvidia,Windows 10,Intel,17.3,1.6,4,256,3,886
Acer,SSD,GeForce MX130,Nvidia,Windows 10,Intel,17.3,2.7,4,256,3,772
Lenovo,HDD,Radeon R5 M330,AMD,Windows 10,Intel,17.3,2.3,8,1000,3,725
Acer,HDD,GeForce MX130,Nvidia,Windows 10,Intel,17.3,2.7,4,1000,3,721
Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.99,1924
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.94,2495
MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.6,16,256,2.94,2001
Asus,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.9,2661
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,512,2.9,2657
Asus,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.9,2334
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.9,2232
Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.9,2144
Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.9,1682
MSI,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,17.3,2.6,8,128,2.9,1662
Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.9,1548
HP,HDD,GeForce MX150,Nvidia,Windows 10,Intel,17.3,1.8,16,1000,2.9,1165
Dell,HDD,Radeon R7 M445,AMD,Linux,Intel,17.3,2.7,8,1000,2.83,952
Dell,Hybrid,Quadro M1200,Nvidia,Windows 10,Intel,15.6,3,16,256,2.8,3361
Lenovo,SSD,HD Graphics 520,Intel,Windows 10,Intel,14,2.6,16,512,2.8,2684
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.8,2474
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.8,2309
MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.8,2079
Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.8,16,256,2.8,1536
Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.8,16,256,2.8,1429
Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.8,8,128,2.8,1256
Dell,Hybrid,Radeon 530,AMD,Linux,Intel,17.3,1.8,8,128,2.8,1209
Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.6,8,128,2.8,1194
Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.8,8,128,2.8,1194
Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.6,8,128,2.8,1077
Lenovo,Hybrid,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2.7,6,128,2.8,1044
Dell,Hybrid,Radeon 530,AMD,Linux,Intel,17.3,1.6,8,128,2.8,978
Lenovo,Hybrid,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2.7,6,128,2.8,945
Lenovo,HDD,GeForce MX150,Nvidia,No OS,Intel,17.3,1.8,8,2000,2.8,934
Lenovo,Hybrid,GeForce GTX 940MX,Nvidia,Windows 10,Intel,17.3,2.5,6,128,2.8,791
Lenovo,SSD,GeForce MX150,Nvidia,No OS,Intel,17.3,1.6,8,256,2.8,768
Lenovo,HDD,GeForce GTX 940M,Nvidia,Windows 10,Intel,17.3,2.5,6,1000,2.8,714
Lenovo,HDD,GeForce GTX 940MX,Nvidia,No OS,Intel,17.3,2.5,8,1000,2.8,648
Lenovo,HDD,HD Graphics 620,Intel,No OS,Intel,17.3,2.5,8,1000,2.8,593
Asus,HDD,GeForce 920MX,Nvidia,Windows 10,Intel,17.3,1.6,4,1000,2.8,583
Lenovo,HDD,HD Graphics 520,Intel,No OS,Intel,17.3,2,4,500,2.8,582
Lenovo,HDD,Radeon R4,AMD,Windows 10,AMD,17.3,2.5,8,1000,2.8,571
Lenovo,HDD,HD Graphics 520,Intel,Windows 10,Intel,17.3,2,4,1000,2.8,538
Asus,HDD,GeForce 920MX,Nvidia,Windows 10,Intel,17.3,1.1,4,1000,2.8,517
Asus,HDD,GeForce 920MX,Nvidia,Windows 10,Intel,17.3,1.1,4,1000,2.8,513
Lenovo,HDD,Radeon R3,AMD,Windows 10,AMD,17.3,2.2,4,500,2.8,417
Lenovo,HDD,GeForce 920MX,Nvidia,Windows 10,Intel,17.3,2.5,4,1000,2.79,648
Dell,SSD,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2.7,16,512,2.77,1979
Dell,SSD,GeForce 150MX,Nvidia,Windows 10,Intel,17.3,1.8,16,512,2.77,1704
Dell,HDD,GeForce 150MX,Nvidia,Windows 10,Intel,17.3,1.6,12,1000,2.77,1099
HP,Hybrid,GeForce GTX 965M,Nvidia,Windows 10,Intel,17.3,2.3,8,128,2.75,1539
Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.73,2255
Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.6,16,512,2.73,1979
Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.5,8,128,2.73,1947
Dell,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,16,128,2.72,1209
HP,HDD,Radeon 520,AMD,Windows 10,Intel,17.3,2.5,6,2000,2.71,769
HP,HDD,Radeon 530,AMD,Windows 10,AMD,17.3,2.5,6,2000,2.71,721
HP,HDD,Radeon 530,AMD,Windows 10,AMD,17.3,2.5,4,500,2.71,483
MSI,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.7,1759
Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,8,256,2.7,1759
MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.7,1758
MSI,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.7,1642
MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,8,128,2.7,1635
MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,8,128,2.7,1550
MSI,SSD,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,8,256,2.7,1484
MSI,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,8,128,2.7,1483
Acer,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.7,1386
MSI,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,8,256,2.7,1319
MSI,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8,128,2.7,1311
MSI,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.5,8,128,2.7,1205
Asus,Hybrid,GeForce GTX 950M,Nvidia,Windows 10,Intel,17.3,2.5,8,256,2.69,980
Asus,Hybrid,GeForce GTX 950M,Nvidia,No OS,Intel,17.3,2.7,8,128,2.69,978
Lenovo,SSD,Quadro M2200M,Nvidia,Windows 10,Intel,15.6,2.9,8,256,2.67,2299
Lenovo,SSD,Quadro M1200,Nvidia,Windows 10,Intel,15.6,2.8,8,512,2.67,2118
Dell,SSD,UHD Graphics 620,Intel,Windows 10,Intel,15.6,1.6,8,256,2.67,879
Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,16,512,2.65,2030
Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.65,1649
Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16,128,2.65,1484
Dell,SSD,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.5,8,256,2.65,1315
Dell,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,1000,2.65,1099
Dell,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,1000,2.65,1044
HP,HDD,Radeon R7 M440,AMD,Windows 10,AMD,17.3,2.4,6,2000,2.65,626
HP,HDD,HD Graphics 520,Intel,Windows 10,Intel,17.3,2,8,1000,2.65,599
Asus,HDD,HD Graphics 405,Intel,Windows 10,Intel,15.6,1.6,4,1000,2.65,340
HP,HDD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,2.7,8,1000,2.63,1408
HP,SSD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,2.7,8,256,2.63,1320
HP,SSD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,2.5,8,256,2.63,1188
HP,HDD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,2.5,8,1000,2.63,1001
HP,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,12,1000,2.62,1979
Dell,SSD,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16,512,2.62,1847
Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.62,1648
Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.62,1627
HP,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,12,128,2.62,1374
Dell,HDD,GeForce GTX 1050Ti,Nvidia,Windows 10,Intel,15.6,2.8,8,1000,2.62,1319
Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.62,1275
Dell,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8,1000,2.62,1209
Dell,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,256,2.62,1084
Dell,HDD,GeForce GTX 1050Ti,Nvidia,Linux,Intel,15.6,2.8,8,1000,2.62,1022
HP,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8,1000,2.62,989
Dell,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8,1000,2.62,989
HP,SSD,Quadro M2200,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.6,2661
HP,SSD,Quadro M1200,Nvidia,Windows 10,Intel,15.6,2.8,8,256,2.6,1912
MSI,SSD,GeForce GTX 965M,Nvidia,Windows 10,Intel,17.3,2.6,8,256,2.6,1759
Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16,128,2.6,1484
Lenovo,Hybrid,GeForce GTX 960<U+039C>,Nvidia,Windows 10,Intel,15.6,2.6,8,128,2.6,1399
Lenovo,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,16,128,2.6,1132
Lenovo,HDD,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,8,1000,2.6,989
Lenovo,HDD,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,8,1000,2.6,989
Lenovo,HDD,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,8,1000,2.6,989
Lenovo,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.3,8,128,2.6,868
HP,HDD,Radeon R5,AMD,Windows 10,AMD,17,3,8,1000,2.6,573
Lenovo,SSD,Radeon R5,AMD,Windows 10,AMD,17.3,2.2,4,128,2.6,538
Asus,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,8,256,2.591,1000
HP,SSD,Quadro M1000M,Nvidia,Windows 7,Intel,15.6,2.6,8,256,2.59,2452
HP,SSD,Quadro M1000M,Nvidia,Windows 7,Intel,15.6,2.6,8,256,2.59,1717
Asus,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,16,128,2.59,1473
Dell,HDD,GeForce GTX 960<U+039C>,Nvidia,Windows 10,Intel,15.6,2.6,16,1000,2.59,967
Dell,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,16,512,2.56,1374
Dell,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.56,1167
Dell,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,256,2.56,967
Dell,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,1000,2.56,901
HP,HDD,HD Graphics 520,Intel,Windows 10,Intel,17.3,2,8,1000,2.54,538
Lenovo,SSD,Quadro M2200M,Nvidia,Windows 10,Intel,15.6,3.1,32,1000,2.5,5389
Lenovo,SSD,Quadro M520M,Nvidia,Windows 10,Intel,15.6,2.8,16,1000,2.5,3629
Lenovo,SSD,Quadro M2200M,Nvidia,Windows 10,Intel,15.6,2.9,16,512,2.5,2694
Lenovo,SSD,Quadro M2000M,Nvidia,Windows 7,Intel,15.6,2.7,16,512,2.5,2607
Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.5,1979
Samsung,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,16,128,2.5,1869
Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.5,1760
Acer,SSD,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.5,16,256,2.5,1429
HP,SSD,GeForce 930MX ,Nvidia,Windows 10,Intel,17.3,1.8,16,512,2.5,1398
Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.5,1392
Lenovo,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.5,1374
Lenovo,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.5,1308
Lenovo,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.5,1297
Asus,HDD,GeForce GTX 1050 Ti,Nvidia,No OS,Intel,15.6,2.8,8,1000,2.5,1286
Lenovo,Hybrid,GeForce GTX 1050M,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.5,1220
Lenovo,Hybrid,Radeon R7 M360,AMD,Windows 10,Intel,15.6,2.5,16,1000,2.5,1209
Lenovo,SSD,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16,256,2.5,1187
Lenovo,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8,128,2.5,1153
HP,SSD,GeForce 930MX ,Nvidia,Windows 10,Intel,17.3,1.8,8,256,2.5,1150
HP,HDD,GeForce 930MX ,Nvidia,Windows 10,Intel,17.3,1.8,8,1000,2.5,1120
Lenovo,HDD,GeForce GTX 1050,Nvidia,No OS,Intel,15.6,2.5,8,1000,2.5,1119
Asus,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8,256,2.5,1099
Lenovo,Hybrid,Radeon R9 M385,AMD,Windows 10,AMD,15.6,2.1,16,512,2.5,1099
Lenovo,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,128,2.5,1099
Acer,SSD,GeForce GTX 1050 Ti,Nvidia,Linux,Intel,15.6,2.8,8,256,2.5,1077
HP,Hybrid,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,1.6,8,128,2.5,1075
HP,SSD,UHD Graphics 620,Intel,Windows 10,Intel,17.3,1.6,8,256,2.5,1021
HP,SSD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,1.6,8,256,2.5,1015
HP,HDD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,1.6,8,1000,2.5,1005
HP,HDD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,1.6,8,1000,2.5,986
Acer,SSD,GeForce GTX 1050,Nvidia,Linux,Intel,15.6,2.8,8,256,2.5,967
Acer,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,256,2.5,931
Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,128,2.5,923
Lenovo,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8,256,2.5,912
Lenovo,Hybrid,Radeon R5 M330,AMD,Windows 10,Intel,15.6,2.3,8,1000,2.5,867
Dell,HDD,Radeon R7 M445,AMD,Windows 10,Intel,15.6,2.5,8,1000,2.5,862
HP,SSD,Radeon R5 520,AMD,Windows 10,Intel,17.3,2,4,256,2.5,769
HP,SSD,HD Graphics 520,Intel,Windows 10,Intel,17.3,2,8,256,2.5,704
Asus,HDD,Radeon RX 560,AMD,Windows 10,AMD,15.6,3,8,1000,2.45,769
Asus,HDD,GeForce GTX 950M,Nvidia,No OS,Intel,15.6,2.3,4,1000,2.45,637
MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.6,16,512,2.43,2914
MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16,256,2.43,2694
